"指标","原文","复现","PE","评级"
"低组M",16.41,16.7131782945736,1.85,"次要偏差"
"低组SD",4.49,4.44892117111153,0.91,"次要偏差"
"高组M",17.83,17.9186046511628,0.5,"次要偏差"
"高组SD",4.63,4.80324578070512,3.74,"次要偏差"
